Block Size (bytes), # of Readers, Average Throughput (MBps), STD (MBps), %
1, 40, 0.011591, 0.000571, 4.9%
2, 40, 0.024308, 0.001016, 4.2%
4, 40, 0.050668, 0.001080, 2.1%
8, 40, 0.098202, 0.004717, 4.8%
16, 40, 0.172656, 0.006306, 3.7%
32, 40, 0.375980, 0.013280, 3.5%
64, 40, 0.794354, 0.032951, 4.1%
128, 40, 1.485594, 0.115334, 7.8%
256, 40, 3.098614, 0.091808, 3.0%
512, 40, 5.843595, 0.200628, 3.4%
1024, 40, 12.315917, 0.519036, 4.2%
2048, 40, 25.264118, 0.879923, 3.5%
4096, 40, 34.074000, 1.575645, 4.6%
8192, 40, 64.048997, 5.049038, 7.9%
16384, 40, 108.943803, 5.837144, 5.4%
32768, 40, 117.834868, 3.675559, 3.1%
65536, 40, 119.088137, 1.964514, 1.6%
131072, 40, 116.868138, 1.897202, 1.6%
262144, 40, 115.757766, 1.950845, 1.7%
524288, 40, 114.698299, 1.965992, 1.7%
1048576, 40, 116.325021, 2.123961, 1.8%
