Time,Storage-1,Storage-2,Storage-3,Storage-4
0,5.6,18.7,0,0
1,8.1,18.3,0,0
2,10.4,17.2,0,0
3,7.7,17.1,0,0
4,9.1,16.6,0,0
5,9.1,16.9,0,0
6,3.1,20.3,11.3,0
7,5,17.9,13.8,0
8,3,16.9,13,0
9,2.1,21.7,14.9,0.5
10,3.5,18.2,14.9,0
11,2.5,18.7,11.7,0
12,3.5,18.3,14.4,0.5
13,4,20.2,13.5,0
14,2,20,11.2,0
15,2,19.9,11.6,5.9
16,0,18.7,11.9,13.7
17,0,17.4,9,12.3
18,0,17.9,11,11.9
19,0,16.9,10.9,11
20,0,17.8,10.6,12.9
21,0,18.7,11.3,14.3
22,0,19.8,10.9,14.6
23,0.5,19.4,10.4,11.4
24,0,19.9,13.3,10.9
25,0,17.8,11.8,13.6
26,0,20.2,10.5,11.8
27,14.2,16.8,11,10.9
28,10.9,20.1,12.7,11.4
29,14,21,12.3,12.1
30,9.5,19.8,13.7,14.6
31,10.4,20.1,10.8,9.4
32,12.2,20.8,8,10.5
33,10.8,18.5,11.3,11.4
34,11.7,17.7,12.2,8.9
35,9.8,19.3,9.9,10.9
36,11.3,19.3,9.5,14.6
37,10.4,17.6,12.4,12.2
38,7,16.3,10.9,11.7
39,10.7,18,12.6,10.4
40,10.8,16.7,13.6,13.1
41,11.3,18.8,11.8,12.4
42,12.2,18.5,14,12.6
43,12.5,18.4,10.8,10.8
44,12,17.1,12.6,11.2
45,10.9,19.7,12.7,9.9
46,12.2,20.1,11.3,10.9
47,7.9,16.7,10.4,12.4
48,10.3,15.8,12.6,8.9
49,9.7,18.4,10.8,11.2
50,10.3,17.5,8.4,10.8
51,9.8,15.7,12.2,11.7
52,10.3,17.5,8.9,12.1
53,9.2,18.7,8.5,11.7
54,11.6,18.5,7.9,12.1
55,12.2,15.7,10.3,11.8
56,9.3,19.5,9,11.8
57,8.3,16.8,8.4,9.3
58,6.2,16.6,9.5,4.6
59,4.1,17.8,4.6,3.6
60,2.6,18.4,4.1,3
61,2,13.9,2,1.5
62,2,17,1.5,1
63,1.5,17.1,0.5,1
64,1,18.6,1,2
65,2.5,16.5,2,1.5
66,0.5,17.9,14.6,1.5
67,3,13.6,20.9,2
68,1.5,15.5,18.2,2.5
69,2,16.8,20.8,2.5
70,1.5,11.8,19.8,3
71,2,13.1,22.5,2.5
72,2.5,12.6,18.5,2
73,2,12.6,18.1,2.5
74,1.5,14.6,19.7,2.5
75,2,13.1,21,6.2
76,3.6,15.4,14.3,22.8
77,4,16.2,16.3,18.6
78,3.6,17.2,11.5,18.9
79,3.1,14.9,14.3,20.1
80,4.5,15.4,16.2,19
81,4.5,15.4,13.5,22.7
82,5,15.8,13.1,17.8
83,4.5,15.7,13.2,18.8
84,2.6,14.9,13.1,17.5
85,6,13.6,11.6,20.7
86,20.4,13.4,12.9,16
87,21.6,10.1,13.3,10.1
88,20.4,12.4,11.9,13.7
89,22.1,11.9,12.3,14.2
90,20.9,11.5,11.1,14.2
91,21.5,13.6,13,15.1
92,18.3,11.8,11.5,13.3
93,22.7,12.9,11.1,12.9
94,20.3,12.1,11.4,10.6
95,19,13.3,9.1,13.2
96,21.1,12.8,10,11.9
97,22.4,13.6,13.8,12.9
98,22.3,8.9,12.5,11.5
99,19.5,11.4,13.3,13.3
100,18.4,11.7,13.7,12.7
101,13.5,7.9,9,2
102,14.8,2,7.2,10.3
103,22,11.3,9.5,14.1
104,20.2,12.2,11.4,8.5
105,18.9,8.9,12.2,10.5
106,20.1,9.8,10.2,15.3
107,20.5,9.6,14.6,12.8
108,17.6,10.4,9.5,13.7
109,19.6,11.9,11.4,12.3
110,17.6,8.9,11.9,9.9
111,20.1,10.4,10.8,12.2
112,16,10,12,10.4
113,22.4,10.9,12.2,11.8
114,18.1,10.9,11.4,11.8
115,18.3,9.9,10.9,11.6
116,18.1,10.4,10.5,11.3
117,18.3,10.4,13.3,11.7
118,19.1,11.8,10.3,12.2
119,14.4,10.4,10,7.3
