# of Readers, Average Throughput (requests/s), STD (requests/s), %
1, 5130.000000, 106.066017, 2.1%
2, 10572.500000, 200.111219, 1.9%
3, 15948.500000, 238.294985, 1.5%
4, 21141.000000, 325.269119, 1.5%
5, 22340.500000, 774.281925, 3.5%
6, 25872.500000, 617.304220, 2.4%
7, 29032.500000, 1130.663743, 3.9%
8, 33077.500000, 306.177236, 0.9%
9, 35606.000000, 1893.631960, 5.3%
10, 35282.000000, 403.050865, 1.1%
11, 37750.500000, 1347.038418, 3.6%
12, 37495.500000, 243.951840, 0.7%
13, 38320.500000, 2007.476152, 5.2%
14, 40978.000000, 379.009235, 0.9%
15, 39061.000000, 82.024387, 0.2%
16, 39102.500000, 902.975360, 2.3%
17, 38811.000000, 1871.004543, 4.8%
18, 39914.000000, 1288.348555, 3.2%
19, 41425.000000, 517.602164, 1.2%
20, 38809.000000, 3398.355190, 8.8%
21, 37427.500000, 1420.577523, 3.8%
22, 36038.500000, 1293.298303, 3.6%
23, 38258.000000, 246.073160, 0.6%
24, 38103.500000, 1115.107394, 2.9%
25, 39107.500000, 50.204581, 0.1%
26, 39891.000000, 977.221572, 2.4%
27, 38789.500000, 160.513239, 0.4%
28, 39031.500000, 408.000613, 1.0%
29, 41089.000000, 1129.956636, 2.8%
30, 41501.000000, 773.574819, 1.9%
31, 41157.500000, 2906.915977, 7.1%
32, 42738.000000, 1329.360749, 3.1%
33, 43356.000000, 855.599205, 2.0%
34, 45909.000000, 421.435642, 0.9%
35, 40069.500000, 2075.358403, 5.2%
36, 41344.000000, 3576.546099, 8.7%
37, 43640.500000, 1250.871896, 2.9%
38, 42226.000000, 247.487373, 0.6%
39, 41886.000000, 507.702669, 1.2%
40, 44149.000000, 386.080303, 0.9%
41, 44727.000000, 946.108873, 2.1%
42, 43637.500000, 316.076731, 0.7%
43, 45425.500000, 67.175144, 0.1%
44, 45693.000000, 981.464212, 2.1%
45, 44528.500000, 1079.752055, 2.4%
46, 45359.000000, 1541.492783, 3.4%
47, 45805.000000, 626.496608, 1.4%
48, 45798.000000, 2074.651296, 4.5%
49, 46996.500000, 34.648232, 0.1%
50, 40447.500000, 3300.067348, 8.2%
51, 40431.500000, 2341.230553, 5.8%
52, 41603.000000, 251.730014, 0.6%
53, 42176.500000, 594.676803, 1.4%
54, 41180.500000, 26.162951, 0.1%
55, 44627.500000, 2007.476152, 4.5%
56, 45224.000000, 608.111832, 1.3%
57, 46685.500000, 669.630122, 1.4%
58, 47419.500000, 1166.019082, 2.5%
59, 46082.500000, 532.451406, 1.2%
60, 46354.000000, 615.182900, 1.3%
61, 46602.500000, 1416.334883, 3.0%
62, 45885.000000, 2621.951945, 5.7%
63, 44438.500000, 1215.516557, 2.7%
64, 44146.000000, 1080.459162, 2.4%
65, 40514.500000, 176.069589, 0.4%
66, 42168.000000, 930.552524, 2.2%
67, 42246.000000, 560.028571, 1.3%
68, 41212.500000, 1513.915619, 3.7%
69, 41560.000000, 2040.710171, 4.9%
70, 39926.500000, 1443.204940, 3.6%
71, 44362.500000, 1509.672978, 3.4%
72, 43814.500000, 610.233152, 1.4%
73, 42710.500000, 3929.392383, 9.2%
74, 43421.500000, 359.917352, 0.8%
75, 39423.500000, 1594.525792, 4.0%
76, 43374.000000, 1940.301008, 4.5%
77, 45717.500000, 468.811796, 1.0%
78, 43225.500000, 1150.462733, 2.7%
79, 42538.000000, 4212.942202, 9.9%
80, 39879.500000, 3778.071532, 9.5%
81, 42923.500000, 2263.448807, 5.3%
