Block Size (bytes), File Size (bytes), # of Clients, # of Replicas, Average Throughput (MBps), STD (MBps), %%
65536, 65536, 40, 1, 35.924136, 3.170379, 8.8%
65536, 65536, 40, 2, 70.108548, 11.082086, 15.8%
65536, 65536, 40, 3, 55.293423, 21.338561, 38.6%
65536, 65536, 40, 4, 45.713154, 13.800905, 30.2%
65536, 131072, 40, 1, 56.291855, 16.932781, 30.1%
65536, 131072, 40, 2, 46.462994, 4.291735, 9.2%
65536, 131072, 40, 3, 61.239366, 8.146366, 13.3%
65536, 131072, 40, 4, 39.596893, 4.270631, 10.8%
65536, 196608, 40, 1, 37.041096, 10.267478, 27.7%
65536, 196608, 40, 2, 41.686263, 12.112991, 29.1%
65536, 196608, 40, 3, 62.263772, 11.228978, 18.0%
65536, 196608, 40, 4, 51.234644, 11.778923, 23.0%
65536, 262144, 40, 1, 46.018138, 23.157944, 50.3%
