Time,MB/s
0,880
1,774
2,926
3,772
4,905
5,858
6,813
7,877
8,924
9,853
10,952
11,1199
12,1212
13,1154
14,1319
15,1276
16,1245
17,1190
18,1107
19,1132
20,1408
21,1522
22,1591
23,1525
24,1537
25,1558
26,1525
27,1557
28,1591
29,1594
30,1595
31,1504
32,1547
33,1579
34,1527
35,1463
36,1492
37,1545
38,1467
39,1431
40,1392
41,1450
42,1471
43,1454
44,1506
45,1507
46,1511
47,1374
48,1525
49,1482
50,1527
51,1451
52,1485
53,1517
54,1499
55,1345
56,1374
57,1338
58,1240
59,514
60,706
61,913
62,850
63,912
64,826
65,964
66,924
67,940
68,875
69,767
70,1214
71,1233
72,1197
73,1332
74,1184
75,1234
76,1221
77,1288
78,1236
79,1254
80,1363
81,1428
82,1358
83,1481
84,1452
85,1417
86,1463
87,1381
88,1477
89,1441
90,1449
91,1439
92,1422
93,1426
94,1446
95,1459
96,1366
97,1428
98,1396
99,1414
100,1337
101,1355
102,1409
103,1439
104,1417
105,1352
106,1423
107,1348
108,1421
109,1428
110,1257
111,1379
112,1405
113,1368
114,1404
115,1422
116,1316
117,1384
118,1391
119,1416
120,0
121,0
122,0
123,0
124,0
