Time,Requests/s
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,280
10,3847
11,3532
12,3349
13,3464
14,3385
15,3503
16,3535
17,3395
18,5761
19,7504
20,7155
21,7398
22,8636
23,6328
24,5214
25,4252
26,1498
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1718
42,1645
43,969
44,961
45,946
46,904
47,1721
48,1401
49,1206
50,840
51,482
52,506
53,520
54,542
55,532
56,542
57,606
58,809
59,921
60,898
61,1065
62,1810
63,1872
64,1851
65,1762
66,720
67,389
68,1094
69,1526
70,1877
71,1734
72,1988
73,1982
74,2074
75,1995
76,2005
77,1941
78,2016
79,1933
80,1841
81,1441
82,2804
83,5295
84,5336
85,5531
86,5552
87,5630
88,5744
89,5484
90,3066
91,1991
92,1915
93,1917
94,1895
95,1793
96,1945
97,1935
98,2912
99,3097
100,3160
101,3121
102,3183
103,3076
104,3163
105,3091
106,1966
107,1669
108,1927
109,1997
110,2080
111,2043
112,2034
113,1986
114,2813
115,3128
116,3198
117,3203
118,3081
119,3056
120,3108
121,2922
122,761
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
