Time,Storage 1 - CPU,Storage 2 - CPU,Storage 3 - CPU,Storage 4 - CPU
0,3,6.7,0,0
1,2,10.7,0,0
2,1,11.2,0,0
3,1.5,13.8,0,0
4,3.5,15.6,0,0
5,2,12.2,6.6,0
6,1,13.1,15.8,0
7,3.5,14,15.3,0
8,4.5,14,12.8,0
9,1,14.8,18.1,0
10,1.5,11.9,12.2,0
11,2,13,15.3,0
12,1,8.9,13.6,0.5
13,2.5,13.1,14.5,0
14,1.5,13.8,15.7,0
15,3.5,13,12.5,16.8
16,2.1,15.5,13.9,15.2
17,2.5,12.2,14,13.1
18,2.5,12.2,13.7,14.3
19,1,10.7,14.4,14.1
20,2.5,10.1,13.5,15.6
21,2.5,13.1,11.9,15.6
22,2.1,13.3,14.4,16.8
23,2,14.6,15.6,15.9
24,2.1,9.7,14,13.2
25,13.7,13.6,13.3,14.1
26,19.4,11,13.3,14.8
27,16,12.8,12.3,14.1
28,19.3,13.9,13.7,16.6
29,15,12.7,10.2,14.6
30,16.8,14.8,14.4,13.8
31,16.1,10.6,13.2,14.2
32,18,14.3,12.1,17
33,15.1,11.9,16,15.3
34,15.2,12.9,12.6,11.7
35,17.8,10.1,13.7,14.1
36,13,11.9,13.7,14.9
37,11.3,10.8,10.4,14.4
38,10.7,10.7,9.8,13.7
39,11.5,11,9.3,16
40,16,12.3,15,14.1
41,15.4,10.9,10.7,14.5
42,15.8,12.4,14.7,14.1
43,14.8,13.3,13.6,14.7
44,15.4,11.4,15.5,12.7
45,14.4,11.3,12.6,16.8
46,16.4,12.4,10.7,15.5
47,15.3,8.9,13,14.3
48,16.8,12.3,12.2,16
49,14.1,10.9,13,14.7
50,15.9,12.8,11,13.7
51,18.3,10.9,13,14.1
52,16.2,12.4,13.7,15.1
53,16.2,13.4,11.6,15.5
54,15.4,10.4,12.8,13.6
55,15,13.4,13.2,14.1
56,15.3,12.8,13.5,9.2
57,14.6,12.4,10.8,16.5
58,13.4,12.2,14,10.3
59,12.2,8.7,,
