Time,MB/s
0,177.864704
1,186.646528
2,173.604864
3,166.658048
4,178.388992
5,191.758336
6,201.5232
7,222.8224
8,224.13312
9,227.7376
10,233.177088
11,227.344384
12,238.813184
13,227.606528
14,227.016704
15,235.798528
16,254.672896
17,279.83872
18,259.85024
19,278.921216
20,282.853376
21,259.457024
22,278.724608
23,279.51104
24,268.828672
25,272.039936
26,288.68608
27,308.936704
28,340.590592
29,339.607552
30,352.780288
31,351.666176
32,313.131008
33,323.158016
34,344.915968
35,331.546624
36,330.760192
37,333.840384
38,324.07552
39,330.694656
40,327.942144
41,339.410944
42,330.235904
43,330.170368
44,311.689216
45,304.807936
46,335.151104
47,345.505792
48,299.565056
49,310.444032
50,317.652992
51,306.118656
52,316.2112
53,309.00224
54,318.83264
55,319.422464
56,329.580544
57,311.492608
58,327.811072
59,132.841472
60,134.67648
61,134.545408
62,133.03808
63,133.300224
64,141.164544
65,156.63104
66,178.91328
67,230.883328
68,244.645888
69,240.51712
70,237.043712
71,231.66976
72,238.419968
73,228.851712
74,250.6752
75,276.758528
76,279.379968
77,319.488
78,326.69696
79,326.107136
80,321.519616
81,322.961408
82,322.633728
83,326.565888
84,328.400896
85,327.221248
86,362.020864
87,383.975424
88,345.04704
89,368.96768
90,373.817344
91,357.82656
92,355.794944
93,367.788032
94,356.057088
95,361.168896
96,362.74176
97,354.22208
98,360.382464
99,328.597504
100,289.865728
101,342.09792
102,341.180416
103,345.505792
104,338.296832
105,346.882048
106,346.095616
107,354.418688
108,351.010816
109,358.875136
110,333.57824
111,342.622208
112,324.206592
113,331.022336
114,332.464128
115,340.918272
116,325.124096
117,336.986112
118,340.852736
119,333.57824
