Block Size (bytes), # of Readers, Average Throughput (MBps), STD (MBps), %
1, 50, 0.023324, 0.000617, 2.6%
2, 50, 0.045890, 0.001558, 3.4%
4, 50, 0.087255, 0.002774, 3.2%
8, 50, 0.180893, 0.010588, 5.9%
16, 50, 0.349723, 0.014734, 4.2%
32, 50, 0.653467, 0.072994, 11.2%
64, 50, 1.397501, 0.121775, 8.7%
128, 50, 3.113871, 0.128184, 4.1%
256, 50, 5.644301, 1.084172, 19.2%
512, 50, 11.126474, 1.843492, 16.6%
1024, 50, 21.402089, 1.331757, 6.2%
2048, 50, 42.865262, 2.046868, 4.8%
4096, 50, 44.087667, 1.434564, 3.3%
8192, 50, 89.306121, 4.753766, 5.3%
16384, 50, 75.342384, 24.699040, 32.8%
32768, 50, 32.653082, 0.844941, 2.6%
65536, 50, 32.970737, 1.114493, 3.4%
131072, 50, 33.311154, 1.445544, 4.3%
262144, 50, 34.061228, 2.680362, 7.9%
524288, 50, 36.335317, 5.977106, 16.4%
1048576, 50, 33.123181, 4.681729, 14.1%
